,sex,marital_status,branch_code,occupation_code,occupation_category_code,P5DA,RIBP,8NN1,7POT,66FJ,GYSR,SOP4,RVSZ,PYUQ,LJR9,N2MW,AHXO,BSTQ,FM3X,K6QO,QBOL,JWFN,JZ9D,J9JW,GHYX,ECY3,join_year,age,total_products
0,F,M,1X1H,2A7I,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2019.0,33,2
1,F,M,UAOD,2A7I,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2019.0,39,2
2,M,U,748L,QZYX,90QI,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2013.0,29,3
3,M,M,1X1H,BP09,56SI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2019.0,30,2
4,M,M,748L,NO3L,T4MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2019.0,30,2
5,F,U,748L,0OJM,T4MS,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010.0,39,2
6,M,M,748L,UJ5T,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2019.0,36,2
7,F,M,E5SW,0KID,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2017.0,43,2
8,M,M,XX25,SST3,56SI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2018.0,30,2
9,M,M,XX25,RUFT,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2018.0,25,2
10,M,M,ZFER,2A7I,T4MS,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2015.0,35,2
11,M,M,748L,B3QW,90QI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2019.0,26,2
12,M,M,1X1H,SST3,56SI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2018.0,33,2
13,M,M,ZFER,P4MD,90QI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2017.0,62,2
14,F,M,XX25,BPSA,90QI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2018.0,34,3
15,M,M,748L,B8W8,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,2017.0,61,4
16,M,U,748L,OPVX,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2020.0,43,3
17,M,M,748L,SST3,56SI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2018.0,26,2
18,M,M,ZFER,2A7I,T4MS,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2016.0,36,2
19,M,U,748L,0OJM,T4MS,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2017.0,54,3
20,M,M,30H5,2A7I,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2019.0,55,2
21,M,M,30H5,2A7I,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2018.0,53,3
22,M,M,E5SW,PKW3,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2019.0,36,2
23,M,M,30H5,0B60,JD7X,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2019.0,52,3
24,M,M,748L,5FPK,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2018.0,57,3
25,M,S,1X1H,SST3,56SI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2019.0,46,2
26,F,M,30H5,UJ5T,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2017.0,37,2
27,M,M,9F9T,BP09,56SI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2020.0,33,3
28,F,M,30H5,0KID,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2020.0,54,2
29,M,M,XX25,RUFT,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2016.0,31,2
30,M,M,UAOD,P4MD,90QI,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2017.0,55,3
31,M,M,30H5,UJ5T,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2019.0,30,2
32,F,M,O67J,0KID,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2020.0,43,3
33,M,M,30H5,N2ZZ,90QI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2018.0,44,2
34,M,M,94KC,UJ5T,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2020.0,41,2
35,M,M,E5SW,6E4H,90QI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2017.0,63,2
36,M,M,XX25,F57O,90QI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2019.0,27,3
37,M,M,748L,2A7I,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2020.0,47,2
38,M,S,30H5,UJ5T,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2018.0,24,2
39,F,M,E5SW,P4MD,90QI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2019.0,25,2
40,M,M,1X1H,UJ5T,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2018.0,30,2
41,M,M,94KC,SST3,56SI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2019.0,20,2
42,F,M,E5SW,0KID,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2017.0,36,3
43,M,M,30H5,QZYX,90QI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2019.0,32,2
44,M,U,748L,0OJM,T4MS,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2013.0,34,2
45,M,M,94KC,UJ5T,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2019.0,38,2
46,M,M,748L,2A7I,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2018.0,48,3
47,F,M,UAOD,BPSA,90QI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2018.0,36,2
48,F,M,XX25,0KID,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2019.0,38,2
49,M,M,UAOD,2A7I,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2019.0,36,2
50,M,M,E5SW,0B60,JD7X,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2019.0,46,2
51,F,M,1X1H,J9SY,90QI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2019.0,44,2
52,F,S,30H5,UJ5T,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2019.0,38,2
53,M,S,UAOD,QZYX,90QI,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2011.0,31,2
54,F,S,XX25,0KID,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2018.0,52,2
55,M,M,748L,2A7I,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2019.0,29,2
56,M,M,748L,2A7I,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2018.0,33,2
57,M,M,E5SW,2A7I,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2019.0,44,2
58,M,U,748L,0OJM,T4MS,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2015.0,42,2
59,M,M,XX25,WMTK,90QI,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2014.0,53,2
60,M,M,E5SW,YMGT,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2017.0,53,2
61,F,M,748L,6PE7,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2016.0,39,2
62,M,M,94KC,SST3,56SI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2018.0,33,2
63,M,M,UAOD,2A7I,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2019.0,46,2
64,F,M,E5SW,0KID,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2019.0,58,2
65,M,M,UAOD,2A7I,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2017.0,45,2
66,M,M,UAOD,2A7I,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,2019.0,36,5
67,M,M,E5SW,J9SY,90QI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2019.0,29,2
68,M,M,XX25,6PE7,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2018.0,45,2
69,M,M,9F9T,SST3,56SI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2019.0,36,2
70,M,S,O67J,F57O,90QI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2019.0,26,2
71,F,M,ZFER,0KID,T4MS,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2016.0,41,2
72,M,M,94KC,SST3,56SI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2019.0,27,2
73,M,M,748L,2A7I,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2018.0,37,2
74,M,M,UAOD,WMTK,90QI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,2020.0,38,4
75,M,S,94KC,2A7I,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2018.0,25,2
76,M,S,XX25,QZYX,90QI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2017.0,31,3
77,M,M,748L,2A7I,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2018.0,30,2
78,M,M,748L,SST3,56SI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2018.0,47,2
79,M,M,E5SW,31JW,90QI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2016.0,60,2
80,M,M,94KC,SST3,56SI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2019.0,60,2
81,M,M,748L,SS6D,L44T,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2018.0,30,2
82,F,M,E5SW,0KID,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2019.0,44,3
83,M,M,748L,2A7I,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2017.0,42,2
84,F,S,XX25,0KID,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2017.0,40,2
85,F,M,748L,2A7I,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2018.0,36,2
86,M,M,748L,2A7I,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2017.0,55,3
87,F,S,30H5,BPSA,90QI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2019.0,30,2
88,M,M,30H5,2A7I,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2017.0,32,3
89,F,S,E5SW,2A7I,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2019.0,38,2
90,M,M,E5SW,9IM8,90QI,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2014.0,41,2
91,M,M,30H5,2A7I,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2019.0,55,2
92,M,M,UAOD,SST3,56SI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2020.0,36,2
93,M,M,748L,2A7I,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2016.0,36,2
94,F,M,30H5,2A7I,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2019.0,43,2
95,F,M,748L,6PE7,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2016.0,46,2
96,F,S,XX25,BPSA,90QI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2018.0,50,2
97,M,M,94KC,P4MD,90QI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2017.0,31,2
98,M,M,UAOD,0KID,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2018.0,43,2
99,F,M,94KC,UJ5T,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2020.0,42,3
100,M,M,94KC,U37O,90QI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2018.0,43,2
